sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1,Male,53534,,1,APPROVED,EQUAL,Tathagata,1.69E+12,8507,MALE,Gender,MAPS_TO,,Tathagata,1.69E+12,
2,Female,46466,,1,APPROVED,EQUAL,Tathagata,1.69E+12,8532,FEMALE,Gender,MAPS_TO,,Tathagata,1.69E+12,
404,Kenya,981054,,1,APPROVED,EQUAL,Tathagata,1.69E+12,4075204,Kenya,Observation,MAPS_TO,,Tathagata,1.69E+12,
710,South Africa,717811,,1,APPROVED,EQUAL,Tathagata,1.69E+12,4073743,South Africa,Observation,MAPS_TO,,Tathagata,1.69E+12,
834,Tanzania,323693,,1,APPROVED,EQUAL,Tathagata,1.69E+12,4072112,Tanzania,Observation,MAPS_TO,,Tathagata,1.69E+12,
BTH,Birth,2387,,1,APPROVED,EQUAL,Tathagata,1.69E+12,4014291,Birth detail,Observation,MAPS_TO,,Tathagata,1.69E+12,
DLV,Delivery,2330,,1,APPROVED,EQUAL,Tathagata,1.69E+12,40766614,Outcome of pregnancy,Observation,MAPS_TO,,Tathagata,1.69E+12,
DTH,Death,573,,1,APPROVED,EQUAL,Tathagata,1.69E+12,4306655,Death,Observation,MAPS_TO,,Tathagata,1.69E+12,
ENT,Location entry ,16047,,0.65,APPROVED,EQUAL,Tathagata,1.69E+12,4250920,Migration,Observation,MAPS_TO,,Tathagata,1.69E+12,
ENU,Enumeration,5724,,0.78,APPROVED,EQUAL,Tathagata,0,4224584,Numeral,Observation,MAPS_TO,,Tathagata,1.69E+12,
EXT,Location exit,16322,,0.34,APPROVED,EQUAL,Tathagata,1.69E+12,4250920,Migration,Observation,MAPS_TO,,Tathagata,1.69E+12,
IMG,In-migration,16529,,0.45,APPROVED,EQUAL,Tathagata,1.69E+12,4250920,Migration,Observation,MAPS_TO,,Tathagata,1.69E+12,
OBE,Observation end ,22195,,0.52,APPROVED,EQUAL,Tathagata,1.69E+12,4021182,Close observation,Observation,MAPS_TO,,Tathagata,1.69E+12,
OBL,Last observation ,1070,,0.86,APPROVED,EQUAL,Tathagata,1.69E+12,4021182,Close observation,Observation,MAPS_TO,,Tathagata,1.69E+12,
OBS,Observation,0,,1,APPROVED,EQUAL,Tathagata,1.69E+12,4021182,Close observation,Observation,MAPS_TO,,Tathagata,1.69E+12,
OMG,Out-migration,17893,,0.58,APPROVED,EQUAL,Tathagata,1.69E+12,4250920,Migration,Observation,MAPS_TO,,Tathagata,1.69E+12,
UNK,Unknown,0,,1,APPROVED,EQUAL,Tathagata,0,0,Unmapped,,MAPS_TO,,,0,
